Beta,Delta,Type 1,Type 2,Type 3,Clustering
0,0,0.492248,0.501256,0.006496,0.524573094544
0,1,0.62376,0.366784,0.009456,0.555185339442
1,0,0.754768,0.119992,0.12524,0.663265306122
0.5,0.5,0.64844,0.321352,0.030208,0.554144106622
0.5,0.25,0.592168,0.407832,0.0,0.579133694294
0.5,0.05,0.584736,0.415264,0.0,0.559975010412
0.5,0.75,0.634576,0.365424,0.0,0.604123281966
0.5,1,0.632264,0.367736,0.0,0.583090379009
0.5,1.5,0.666744,0.333256,0.0,0.596001665973
0.5,2,0.580144,0.0538,0.366056,0.541649312786
0.5,3,0.499968,0.0,0.500032,0.523948354852
0.5,5,0.501152,0.0,0.498848,0.54394002499
0.25,1,0.600304,0.399696,0.0,0.589129529363
0.25,2,0.782392,0.056408,0.1612,0.66472303207
0.25,5,0.701016,0.014192,0.284792,0.60433152853
0.25,0.5,0.599912,0.387448,0.01264,0.537276134944
0.75,5,0.605168,0.0136,0.381232,0.56247396918
0.75,10,0.590088,0.012712,0.3972,0.541024573095
0.75,20,0.5906,0.012016,0.397384,0.55351936693
1,5,0.560464,0.012352,0.427184,0.554352353186
1,10,0.544416,0.011744,0.44384,0.529987505206
1,20,0.531728,0.010784,0.457488,0.531861724282
0.1,2,0.804328,0.094144,0.101528,0.677634319034
0.1,4,0.780056,0.017704,0.20224,0.683881715952
0.1,12,0.771376,0.012256,0.216368,0.662432319867
0.2,12,0.709192,0.012384,0.278424,0.617242815494
0.4,12,0.642304,0.012264,0.345432,0.560183256976
0.1,1,0.631504,0.358368,0.010128,0.566014160766
0.8,1,0.705984,0.207192,0.086824,0.607038733861
0.2,13,0.712584,0.011768,0.275648,0.626197417743
0.6,15,0.6066,0.011784,0.381616,0.559350270721
0.7,16,0.592224,0.011848,0.395928,0.54977092878
0.6,20,0.607792,0.01156,0.380648,0.557059558517
0.2,17,0.707616,0.011768,0.280616,0.610578925448
0.2,20,0.706048,0.011496,0.282456,0.615368596418
0.4,10,0.642984,0.012336,0.34468,0.582257392753
0.3,7,0.680592,0.012976,0.306432,0.595168679717
0.1,0,0.497456,0.495576,0.006968,0.518117451062
0.25,0,0.494656,0.4452,0.060144,0.482299042066
0.5,0,0.519609,0.391073,0.089318,0.442301805938
0.75,0,0.549169,0.361602,0.089229,0.464493419039
1,0,0.801403259259,0.0969647407407,0.101632,0.701789627465
2,0,0.555311407407,0.07104,0.373648592593,0.491417092768
5,0,0.50221037037,0.058029037037,0.439760592593,0.472607742878
10,0,0.492939851852,0.0429368888889,0.464123259259,0.495799853908
0,0.2,0.52396562963,0.444873481481,0.0311608888889,0.500091307524
0,0.6,0.582587259259,0.384971851852,0.0324408888889,0.519996347699
0,0.8,0.611759407407,0.352353185185,0.0358874074074,0.524196493791
0,1,0.64013037037,0.310115555556,0.0497540740741,0.533053323594
0.1,0.4,0.556814222222,0.410069333333,0.0331164444444,0.49926953981
0.1,0.8,0.613852444444,0.348513185185,0.0376343703704,0.51561358656
1,3,0.545426962963,0.0543715555556,0.400201481481,0.497991234478
2,3,0.524536888889,0.047597037037,0.427866074074,0.493791088386
2,5,0.510160592593,0.0490453333333,0.440794074074,0.492238860482
3,5,0.509487407407,0.0456106666667,0.444901925926,0.488312636961
3,3,0.513431703704,0.0434180740741,0.443150222222,0.492786705625
3,1,0.522673777778,0.0425481481481,0.434778074074,0.486303871439
1.5,0.5,0.579474962963,0.0798317037037,0.340693333333,0.479455807159
1.5,1,0.573876148148,0.061312,0.364811851852,0.492056245435
1.5,2,0.551578074074,0.0520059259259,0.396416,0.504839298758